time_ns,clock,v,ve,p_bits,p_dec,pe_bits,pe_dec,b,error,reset,start,ready,state_bits,state,next_state_bits,next,count
4050,0,0,1,00010,2,00110,6,1@6,0,0,0,0,10,CHECK,10,CHECK,2
4100,1,0,1,00011,3,00110,6,1@6,0,0,0,0,10,CHECK,10,CHECK,3
4150,0,0,1,00011,3,00110,6,1@6,0,0,0,0,10,CHECK,10,CHECK,3
4200,1,0,1,00100,4,00110,6,1@6,0,0,0,0,10,CHECK,10,CHECK,4
4250,0,0,1,00100,4,00110,6,1@6,0,0,0,0,10,CHECK,10,CHECK,4
4300,1,0,1,00101,5,00110,6,1@6,0,0,0,0,10,CHECK,10,CHECK,5
4350,0,0,1,00101,5,00110,6,1@6,0,0,0,0,10,CHECK,10,CHECK,5
4400,1,1,1,00110,6,00110,6,1@6,0,0,0,0,10,CHECK,01,IDLE,6
4450,0,1,1,00110,6,00110,6,1@6,0,0,0,0,10,CHECK,01,IDLE,6
4500,1,1,1,00110,6,00110,6,1@6,0,0,0,1,01,IDLE,01,IDLE,6
4550,0,1,1,00110,6,00111,7,1@7,0,0,0,1,01,IDLE,01,IDLE,6
4600,1,1,1,00110,6,00111,7,1@7,0,0,0,1,01,IDLE,01,IDLE,6
4650,0,1,1,00110,6,00111,7,1@7,0,0,0,1,01,IDLE,01,IDLE,6
4700,1,1,1,00110,6,00111,7,1@7,0,0,0,1,01,IDLE,01,IDLE,6
4750,0,1,1,00110,6,00111,7,1@7,0,0,1,1,01,IDLE,10,CHECK,6
4800,1,0,1,00000,0,00111,7,1@7,0,0,1,0,10,CHECK,10,CHECK,0
4850,0,0,1,00000,0,00111,7,1@7,0,0,0,0,10,CHECK,10,CHECK,0
4900,1,0,1,00001,1,00111,7,1@7,0,0,0,0,10,CHECK,10,CHECK,1
4950,0,0,1,00001,1,00111,7,1@7,0,0,0,0,10,CHECK,10,CHECK,1
5000,1,0,1,00010,2,00111,7,1@7,0,0,0,0,10,CHECK,10,CHECK,2
5050,0,0,1,00010,2,00111,7,1@7,0,0,0,0,10,CHECK,10,CHECK,2
5100,1,0,1,00011,3,00111,7,1@7,0,0,0,0,10,CHECK,10,CHECK,3
5150,0,0,1,00011,3,00111,7,1@7,0,0,0,0,10,CHECK,10,CHECK,3
5200,1,0,1,00100,4,00111,7,1@7,0,0,0,0,10,CHECK,10,CHECK,4
5250,0,0,1,00100,4,00111,7,1@7,0,0,0,0,10,CHECK,10,CHECK,4
5300,1,0,1,00101,5,00111,7,1@7,0,0,0,0,10,CHECK,10,CHECK,5
5350,0,0,1,00101,5,00111,7,1@7,0,0,0,0,10,CHECK,10,CHECK,5
5400,1,0,1,00110,6,00111,7,1@7,0,0,0,0,10,CHECK,10,CHECK,6
5450,0,0,1,00110,6,00111,7,1@7,0,0,0,0,10,CHECK,10,CHECK,6
5500,1,1,1,00111,7,00111,7,1@7,0,0,0,0,10,CHECK,01,IDLE,7
5550,0,1,1,00111,7,00111,7,1@7,0,0,0,0,10,CHECK,01,IDLE,7
5600,1,1,1,00111,7,00111,7,1@7,0,0,0,1,01,IDLE,01,IDLE,7
5650,0,1,1,00111,7,01000,8,1@8,0,0,1,1,01,IDLE,10,CHECK,7
5700,1,0,1,00000,0,01000,8,1@8,0,0,1,0,10,CHECK,10,CHECK,0
5750,0,0,1,00000,0,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,0
5800,1,0,1,00001,1,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,1
5850,0,0,1,00001,1,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,1
5900,1,0,1,00010,2,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,2
5950,0,0,1,00010,2,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,2
6000,1,0,1,00011,3,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,3
6050,0,0,1,00011,3,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,3
6100,1,0,1,00100,4,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,4
6150,0,0,1,00100,4,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,4
6200,1,0,1,00101,5,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,5
6250,0,0,1,00101,5,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,5
6300,1,0,1,00110,6,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,6
6350,0,0,1,00110,6,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,6
6400,1,0,1,00111,7,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,7
6450,0,0,1,00111,7,01000,8,1@8,0,0,0,0,10,CHECK,10,CHECK,7
6500,1,1,1,01000,8,01000,8,1@8,0,0,0,0,10,CHECK,01,IDLE,8
6550,0,1,1,01000,8,01000,8,1@8,0,0,0,0,10,CHECK,01,IDLE,8
6600,1,1,1,01000,8,01000,8,1@8,0,0,0,1,01,IDLE,01,IDLE,8
6650,0,1,1,01000,8,01001,9,1@9,0,0,1,1,01,IDLE,10,CHECK,8
6700,1,0,1,00000,0,01001,9,1@9,0,0,1,0,10,CHECK,10,CHECK,0
6750,0,0,1,00000,0,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,0
6800,1,0,1,00001,1,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,1
6850,0,0,1,00001,1,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,1
6900,1,0,1,00010,2,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,2
6950,0,0,1,00010,2,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,2
7000,1,0,1,00011,3,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,3
7050,0,0,1,00011,3,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,3
